2017-12-15 13:01:14,740 [INFO  IM] - <msg_server.cpp>|<49>|<main>,MsgServer max files can open: 100001 
2017-12-15 13:01:14,741 [INFO  IM] - <BaseSocket.cpp>|<81>|<Listen>,CBaseSocket::Listen on 0.0.0.0:8000
2017-12-15 13:01:14,741 [INFO  IM] - <FileServConn.cpp>|<112>|<Connect>,Connecting to FileServer localhost:8600 
2017-12-15 13:01:14,741 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=localhost, port=8600
2017-12-15 13:01:14,741 [INFO  IM] - <DBServConn.cpp>|<69>|<init_db_serv_conn>,DB server connection index for login business: [0, 0), for other business: [0, 2) 
2017-12-15 13:01:14,741 [INFO  IM] - <DBServConn.cpp>|<144>|<Connect>,Connecting to DB Storage Server 123.206.185.148:3306 
2017-12-15 13:01:14,741 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=123.206.185.148, port=3306
2017-12-15 13:01:14,741 [INFO  IM] - <DBServConn.cpp>|<144>|<Connect>,Connecting to DB Storage Server 123.206.185.148:3306 
2017-12-15 13:01:14,741 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=123.206.185.148, port=3306
2017-12-15 13:01:14,741 [INFO  IM] - <LoginServConn.cpp>|<102>|<Connect>,Connecting to LoginServer localhost:8100 
2017-12-15 13:01:14,741 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=localhost, port=8100
2017-12-15 13:01:14,741 [INFO  IM] - <RouteServConn.cpp>|<139>|<Connect>,Connecting to RouteServer localhost:8200 
2017-12-15 13:01:14,741 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=localhost, port=8200
2017-12-15 13:01:14,741 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server localhost:8500 
2017-12-15 13:01:14,741 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=localhost, port=8500
2017-12-15 13:01:14,742 [INFO  IM] - <FileServConn.cpp>|<152>|<OnClose>,onclose from file server handle=7 
2017-12-15 13:01:14,742 [INFO  IM] - <LoginServConn.cpp>|<126>|<OnConfirm>,connect to login server success 
2017-12-15 13:01:14,742 [INFO  IM] - <RouteServConn.cpp>|<197>|<OnClose>,onclose from route server handle=11 
2017-12-15 13:01:14,742 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=12 
2017-12-15 13:01:14,772 [INFO  IM] - <DBServConn.cpp>|<169>|<OnConfirm>,connect to db server success
2017-12-15 13:01:14,773 [INFO  IM] - <DBServConn.cpp>|<169>|<OnConfirm>,connect to db server success
2017-12-15 13:01:18,812 [INFO  IM] - <FileServConn.cpp>|<112>|<Connect>,Connecting to FileServer localhost:8600 
2017-12-15 13:01:18,812 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=localhost, port=8600
2017-12-15 13:01:18,812 [INFO  IM] - <RouteServConn.cpp>|<139>|<Connect>,Connecting to RouteServer localhost:8200 
2017-12-15 13:01:18,812 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=localhost, port=8200
2017-12-15 13:01:18,812 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server localhost:8500 
2017-12-15 13:01:18,812 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=localhost, port=8500
2017-12-15 13:01:18,812 [INFO  IM] - <FileServConn.cpp>|<152>|<OnClose>,onclose from file server handle=7 
2017-12-15 13:01:18,812 [INFO  IM] - <RouteServConn.cpp>|<197>|<OnClose>,onclose from route server handle=11 
2017-12-15 13:01:18,812 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=12 
2017-12-15 13:01:19,845 [INFO  IM] - <DBServConn.cpp>|<176>|<OnClose>,onclose from db server handle=8
2017-12-15 13:01:19,846 [INFO  IM] - <DBServConn.cpp>|<176>|<OnClose>,onclose from db server handle=9
2017-12-15 13:01:23,822 [INFO  IM] - <DBServConn.cpp>|<144>|<Connect>,Connecting to DB Storage Server 123.206.185.148:3306 
2017-12-15 13:01:23,822 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=123.206.185.148, port=3306
2017-12-15 13:01:23,822 [INFO  IM] - <DBServConn.cpp>|<144>|<Connect>,Connecting to DB Storage Server 123.206.185.148:3306 
2017-12-15 13:01:23,822 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=123.206.185.148, port=3306
2017-12-15 13:01:23,855 [INFO  IM] - <DBServConn.cpp>|<169>|<OnConfirm>,connect to db server success
2017-12-15 13:01:23,856 [INFO  IM] - <DBServConn.cpp>|<169>|<OnConfirm>,connect to db server success
